Threads,Schedule,ChunkSize,FractalTime,FilterTime,HistAtomic,HistReduction
1,static,1,53.1669,4.11627,2.98834,0.163251
1,static,2,55.8496,7.04778,0.848435,0.115893
1,static,4,51.8911,2.28491,0.750082,0.121491
1,static,8,37.4197,2.90773,0.875556,0.199981
1,static,16,43.3345,2.34129,0.784332,0.118357
1,static,32,38.7051,3.45386,0.808568,0.125929
1,static,64,36.1928,2.25132,0.684837,0.114595
1,static,128,39.1998,2.30448,0.726117,0.112477
1,dynamic,1,37.5858,2.23482,0.709554,0.116534
1,dynamic,2,36.7533,2.26788,0.707082,0.112404
1,dynamic,4,36.6168,2.99954,0.744418,0.11552
1,dynamic,8,37.6842,2.37368,0.803676,0.16162
1,dynamic,16,36.2421,2.73218,0.764591,0.114305
1,dynamic,32,38.6965,2.77541,0.933294,0.146574
1,dynamic,64,36.6132,2.28458,0.73293,0.115825
1,dynamic,128,38.3454,2.21116,0.698287,0.114597
1,guided,1,36.1242,2.20907,0.689108,0.109169
1,guided,2,35.7363,2.1898,0.691824,0.109821
1,guided,4,35.4219,2.38159,0.713386,0.112258
1,guided,8,35.5018,2.24472,0.765321,0.120432
1,guided,16,36.9606,2.39169,0.746904,0.121338
1,guided,32,44.8148,4.35583,0.769162,0.123624
1,guided,64,38.969,2.40959,0.738368,0.117248
1,guided,128,42.7683,2.29826,0.736182,0.123694
2,static,1,20.6917,1.67658,1.12708,0.145698
2,static,2,22.6226,1.53158,0.997214,0.0715549
2,static,4,20.4757,1.39123,1.02281,0.0679232
2,static,8,21.6563,1.37769,0.96244,0.060609
2,static,16,45.8443,1.54669,0.999381,0.0800434
2,static,32,24.8879,1.32997,0.961471,0.0576741
2,static,64,20.4794,1.40399,1.01813,0.0603467
2,static,128,21.9786,1.43214,0.974834,0.0602305
2,dynamic,1,21.7084,1.32655,0.994718,0.0600217
2,dynamic,2,21.2425,1.48537,0.985614,0.058363
2,dynamic,4,21.0594,1.36208,0.98753,0.0587694
2,dynamic,8,20.2591,1.40615,1.09713,0.0671396
2,dynamic,16,20.918,1.30897,0.975574,0.059997
2,dynamic,32,19.5683,1.98372,1.23352,0.0688805
2,dynamic,64,28.0927,1.54812,1.02102,0.0727398
2,dynamic,128,21.9428,1.53717,0.992296,0.0674546
2,guided,1,27.8108,1.36302,0.978384,0.0565353
2,guided,2,19.7767,1.46316,1.00209,0.1342
2,guided,4,21.1687,1.57285,1.14557,0.0934267
2,guided,8,25.3623,1.7232,1.02499,0.0783608
2,guided,16,40.2548,2.49132,1.15442,0.0829751
2,guided,32,45.7688,4.65462,1.79645,0.151423
2,guided,64,20.9586,1.68918,1.20967,0.065578
2,guided,128,18.6036,2.23251,1.15052,0.0639646
4,static,1,22.8611,1.87897,1.0372,0.146574
4,static,2,25.9044,1.4138,0.918061,0.0835306
4,static,4,28.4009,1.32859,0.95427,0.0724368
4,static,8,27.5523,2.45111,1.20292,0.073527
4,static,16,46.8445,1.94976,0.957184,0.107417
4,static,32,26.9107,1.32117,0.9573,0.06882
4,static,64,19.8382,1.56273,0.96037,0.0629517
4,static,128,19.7616,1.31191,0.981356,0.0668454
4,dynamic,1,22.3379,1.36693,0.954428,0.0596015
4,dynamic,2,20.9866,1.4592,0.929235,0.0738418
4,dynamic,4,22.2191,1.23408,0.884195,0.0565372
4,dynamic,8,21.0227,1.39002,0.926804,0.0760613
4,dynamic,16,23.0951,1.65866,0.955012,0.0921698
4,dynamic,32,27.1207,1.41296,0.997134,0.0701022
4,dynamic,64,50.6486,1.87308,1.02346,0.0757033
4,dynamic,128,29.0914,2.20408,1.07366,0.0776101
4,guided,1,37.661,1.55258,0.98832,0.0721994
4,guided,2,24.5589,2.32047,1.08169,0.0759703
4,guided,4,22.9626,1.39486,1.00414,0.0960469
4,guided,8,24.5153,2.34636,1.30223,0.11321
4,guided,16,21.7353,1.56087,0.999789,0.0850316
4,guided,32,23.9297,1.66719,0.962745,0.0694747
4,guided,64,23.1233,1.47128,0.964697,0.0666009
4,guided,128,22.4371,1.46611,0.980743,0.0782631
8,static,1,24.5479,1.60784,1.11708,0.0783733
8,static,2,35.7234,2.45289,1.28552,0.0866244
8,static,4,33.5329,2.50047,1.2099,0.127538
8,static,8,34.3908,1.95607,0.948925,0.0636663
8,static,16,26.4796,2.39383,1.04589,0.133024
8,static,32,22.7472,1.92216,1.6075,0.285149
8,static,64,25.3792,1.75162,1.08828,0.0737768
8,static,128,27.2767,3.16065,1.06516,0.102263
8,dynamic,1,28.1256,2.23705,1.14222,0.111517
8,dynamic,2,37.9289,2.33059,0.989699,0.0589991
8,dynamic,4,26.4426,2.27237,1.04493,0.0846248
8,dynamic,8,33.3015,1.74618,1.22667,0.0946963
8,dynamic,16,24.5729,2.12871,1.05597,0.098453
8,dynamic,32,23.1374,3.81279,1.47063,0.108648
8,dynamic,64,37.577,3.93915,1.28731,0.12489
8,dynamic,128,25.1549,1.36301,0.954606,0.0746496
8,guided,1,35.9755,2.49775,1.66056,0.130747
8,guided,2,32.5324,4.64059,1.07542,0.0702029
8,guided,4,28.456,1.94753,1.04166,0.124816
8,guided,8,45.06,2.57108,1.05294,0.110109
8,guided,16,35.258,3.66053,1.44891,0.11819
8,guided,32,34.6087,2.71951,1.34483,0.112076
8,guided,64,41.2915,1.42876,1.01253,0.0703898
8,guided,128,19.7648,1.31186,0.978206,0.0756523
16,static,1,27.9923,1.93421,1.04036,0.0677489
16,static,2,22.4016,2.10232,1.33899,0.0883877
16,static,4,20.6039,1.66156,0.97078,0.0582626
16,static,8,19.5305,1.30519,0.943549,0.0593778
16,static,16,19.7214,1.44903,0.938571,0.0872901
16,static,32,20.9488,1.74526,1.03993,0.0665103
16,static,64,19.8769,1.38278,0.950671,0.0596362
16,static,128,20.2865,1.38827,0.994506,0.0634695
16,dynamic,1,23.6295,1.48296,1.05789,0.0733625
16,dynamic,2,21.7547,1.55497,1.00066,0.0827273
16,dynamic,4,20.3519,1.58435,1.12913,0.068094
16,dynamic,8,19.9021,1.45336,0.968803,0.0653055
16,dynamic,16,25.6643,1.63124,1.01351,0.0918664
16,dynamic,32,28.2424,3.80554,1.27364,0.11284
16,dynamic,64,29.3851,1.90688,0.981057,0.0659325
16,dynamic,128,25.6156,1.78619,1.12485,0.0753984
16,guided,1,33.2964,6.2167,1.37207,0.115269
16,guided,2,39.4353,3.08758,1.17068,0.0810678
16,guided,4,30.4714,3.01631,1.385,0.0811651
16,guided,8,20.7517,1.5809,0.990993,0.0743591
16,guided,16,19.7389,1.38817,1.00599,0.0599615
16,guided,32,20.5593,1.66582,0.972562,0.0604685
16,guided,64,21.5039,1.46092,0.952514,0.0598505
16,guided,128,19.894,1.95469,0.983317,0.0645148
